;NUM_ART;variable;value;QTE_VTE;Standard_CPQ;score;score_cum;flag_alerte;flag_inv;flag_stk;score_cum_before;flag_inv_before;flag_inv_period
53;298893;2020-02-16;0.022216666666666666;0.0;6.0;0.0037027777777777775;0.0037027777777777775;1;;;0;;
54;298956;2020-02-16;0.0;0.0;5.0;0.0;0.0;0;;;0;;
55;298984;2020-02-16;0.029359999999999997;0.0;10.0;0.002936;0.002936;1;;;0;;
56;299054;2020-02-16;0.005935;0.0;10.0;0.0005935000000000001;0.0005935000000000001;1;;;0;;
57;299075;2020-02-16;0.010031666666666666;0.0;8.0;0.0012539583333333333;0.0012539583333333333;1;;;0;;
58;299131;2020-02-16;0.03734166666666667;0.0;5.0;0.007468333333333334;0.007468333333333334;1;;;0;;
59;299152;2020-02-16;0.04720833333333333;0.0;17.0;0.0027769607843137253;0.0027769607843137253;1;;;0;;
60;299201;2020-02-16;0.055005000000000005;0.0;4.0;0.013751250000000001;0.013751250000000001;1;;;0;;
61;299215;2020-02-16;0.07151;0.0;4.0;0.0178775;0.0178775;1;;;0;;
62;299222;2020-02-16;0.0;0.0;3.0;0.0;0.0;0;;;0;;
63;299796;2020-02-16;0.0;0.0;3.0;0.0;0.0;0;;;0;;
64;299831;2020-02-16;0.11622500000000001;0.0;5.0;0.023245000000000002;0.023245000000000002;1;;;0;;
65;299866;2020-02-16;0.10772;0.0;5.0;0.021544;0.021544;1;;;0;;
66;299894;2020-02-16;0.19333333333333333;0.0;4.0;0.04833333333333333;0.04833333333333333;1;;;0;;
67;299915;2020-02-16;0.0;0.0;2.0;0.0;0.0;0;;;0;;
68;299964;2020-02-16;0.03251833333333333;0.0;2.0;0.016259166666666665;0.016259166666666665;1;;;0;;
69;299992;2020-02-16;0.046808333333333334;0.0;2.0;0.023404166666666667;0.023404166666666667;1;;;0;;
70;300342;2020-02-16;0.30218;0.0;2.0;0.15109;0.15109;1;;;0;;
71;300356;2020-02-16;0.10286000000000001;0.0;5.0;0.020572;0.020572;1;;;0;;
72;300363;2020-02-16;0.018761666666666666;0.0;10.0;0.0018761666666666666;0.0018761666666666666;1;;;0;;
73;300391;2020-02-16;0.3250983333333333;0.0;4.0;0.08127458333333333;0.08127458333333333;1;;;0;;
74;300405;2020-02-16;0.1399;0.0;4.0;0.034975;0.034975;1;;;0;;
75;300433;2020-02-16;0.018256666666666668;0.0;6.0;0.003042777777777778;0.003042777777777778;1;;;0;;
76;300440;2020-02-16;0.018256666666666668;0.0;3.0;0.006085555555555556;0.006085555555555556;1;;;0;;
77;300461;2020-02-16;0.05106333333333334;0.0;3.0;0.017021111111111115;0.017021111111111115;1;;;0;;
78;300496;2020-02-16;0.0;0.0;4.0;0.0;0.0;0;;;0;;
79;300545;2020-02-16;0.011211666666666668;0.0;3.0;0.003737222222222223;0.003737222222222223;1;;;0;;
80;300615;2020-02-16;0.044155;0.0;2.0;0.0220775;0.0220775;1;;;0;;
81;300622;2020-02-16;0.017588333333333334;0.0;3.0;0.005862777777777778;0.005862777777777778;1;;;0;;
82;302526;2020-02-16;0.04093;0.0;3.0;0.013643333333333334;0.013643333333333334;1;;;0;;
83;303653;2020-02-16;0.21937666666666666;0.0;5.0;0.043875333333333336;0.043875333333333336;0;;0.0;0;;
84;303660;2020-02-16;0.5768566666666667;2.0;4.0;-1.1265835592006945;0.0;0;;;0;;
85;307496;2020-02-16;0.06103666666666666;0.0;2.0;0.03051833333333333;0.03051833333333333;1;;;0;;
86;310520;2020-02-16;0.0;0.0;16.0;0.0;0.0;0;;;0;;
87;341061;2020-02-16;2.139925;0.0;2.0;1.0699625;1.0699625;1;;;0;;
88;343014;2020-02-16;0.03036833333333333;0.0;2.0;0.015184166666666665;0.015184166666666665;1;;;0;;
89;348054;2020-02-16;0.09594166666666666;0.0;3.0;0.031980555555555554;0.031980555555555554;1;;;0;;
90;348075;2020-02-16;0.08721333333333332;0.0;3.0;0.029071111111111107;0.029071111111111107;1;;;0;;
91;348236;2020-02-16;0.11220833333333334;0.0;3.0;0.03740277777777778;0.03740277777777778;1;;;0;;
92;351701;2020-02-16;0.23705666666666667;0.0;1.0;0.23705666666666667;0.23705666666666667;1;;;0;;
93;384426;2020-02-16;0.5021116666666666;0.0;6.0;0.08368527777777778;0.08368527777777778;1;;;0;;
94;384440;2020-02-16;0.09628500000000001;0.0;7.0;0.013755000000000002;0.013755000000000002;1;;;0;;
95;392042;2020-02-16;0.17001333333333332;0.0;3.0;0.05667111111111111;0.05667111111111111;1;;;0;;
96;392091;2020-02-16;1.038245;0.0;8.0;0.129780625;0.129780625;1;;;0;;
97;392112;2020-02-16;0.12779666666666667;0.0;2.0;0.06389833333333333;0.06389833333333333;1;;;0;;
98;392126;2020-02-16;0.2820066666666667;0.0;2.0;0.14100333333333334;0.14100333333333334;1;;;0;;
99;397922;2020-02-16;0.04692333333333334;0.0;3.0;0.015641111111111113;0.015641111111111113;1;;;0;;
100;411404;2020-02-16;0.08109333333333334;0.0;2.0;0.04054666666666667;0.04054666666666667;1;;;0;;
101;413252;2020-02-16;0.17152833333333337;0.0;2.0;0.08576416666666668;0.08576416666666668;1;;;0;;
102;421421;2020-02-16;0.09898166666666665;0.0;2.0;0.049490833333333324;0.049490833333333324;1;;;0;;
103;427323;2020-02-16;1.0348383333333333;2.0;2.0;-1.2328842607006945;0.0;0;;;0;;
104;436961;2020-02-16;0.7513866666666665;0.0;20.0;0.03756933333333333;0.03756933333333333;1;;;0;;
105;436982;2020-02-16;1.9789100000000002;0.0;26.0;0.07611192307692308;0.07611192307692308;1;;;0;;
106;437024;2020-02-16;0.6121016666666667;0.0;22.0;0.02782280303030303;0.02782280303030303;1;;;0;;
107;437031;2020-02-16;0.23117166666666666;2.0;40.0;-1.0019554710455016;0.0;0;;;0;;
108;437234;2020-02-16;0.4014816666666667;0.0;16.0;0.025092604166666668;0.025092604166666668;1;;;0;;
109;437416;2020-02-16;1.2784366666666667;0.0;32.0;0.03995114583333333;0.03995114583333333;1;;;0;;
110;437542;2020-02-16;0.43888;0.0;30.0;0.014629333333333333;0.014629333333333333;1;;;0;;
