;NUM_ART;variable;value;QTE_VTE;Standard_CPQ;score;score_cum;flag_alerte;flag_inv;flag_stk;score_cum_before;flag_inv_before;flag_inv_3weeks;flag_inv_1week;flag_stk_cpq;valueStockSuspect;flag_match_vekia
43;61477451;2020-02-16;0.0;0.0;6.0;0.0;0.003221111111111111;1;;;0.003221111111111111;;;;;;
44;66793874;2020-02-16;0.0;0.0;8.0;0.0;0.003253750000000001;1;;;0.003253750000000001;;;;;;
45;80128671;2020-02-16;0.0;0.0;3.0;0.0;0.003344444444444445;1;;;0.003344444444444445;;;;;;
46;80038455;2020-02-16;0.000195;0.0;1.0;0.000195;0.00341;1;;;0.003215;;;;;;
47;67212691;2020-02-16;0.0;0.0;3.0;0.0;0.003476666666666666;1;;;0.003476666666666666;;;;;;
48;67038601;2020-02-16;0.0;0.0;2.0;0.0;0.0036575;1;;;0.0036575;;;;;;
49;60312910;2020-02-16;0.0008966666666666666;0.0;3.0;0.00029888888888888885;0.0037938888888888883;1;;;0.0034949999999999994;;;;;;
50;62153616;2020-02-16;0.0;0.0;14.0;0.0;0.003864761904761904;1;;;0.003864761904761904;;;;;;
51;73195801;2020-02-16;0.0;0.0;2.0;0.0;0.0039425;1;;;0.0039425;;;;;;
52;73194891;2020-02-16;0.0;0.0;2.0;0.0;0.0039425;1;;;0.0039425;;;;;;
53;68543643;2020-02-16;0.0;0.0;2.0;0.0;0.004099166666666667;1;;;0.004099166666666667;;;;;;
54;68539555;2020-02-16;0.0;0.0;2.0;0.0;0.004099166666666667;1;;;0.004099166666666667;;;;;;
55;68534060;2020-02-16;0.0;0.0;2.0;0.0;0.004099166666666667;1;;;0.004099166666666667;;;;;;
56;70460516;2020-02-16;0.00023166666666666667;0.0;1.0;0.00023166666666666667;0.004103333333333332;1;;;0.0038716666666666656;;;;;;
57;70968982;2020-02-16;0.0;0.0;2.0;0.0;0.00417;1;;;0.00417;;;;;;
58;74246263;2020-02-16;0.009621666666666666;0.0;37.0;0.00026004504504504504;0.004217252252252252;1;;;0.003957207207207207;;;;;;
59;65987873;2020-02-16;7.833333333333334e-05;0.0;4.0;1.9583333333333336e-05;0.004366666666666669;1;;;0.004347083333333336;;;;;;
60;70198394;2020-02-16;0.0;0.0;3.0;0.0;0.004396111111111112;1;;;0.004396111111111112;;;;;;
61;69228383;2020-02-16;0.0;0.0;3.0;0.0;0.004474999999999999;1;;;0.004474999999999999;;;;;;
62;70609364;2020-02-16;0.00046499999999999997;0.0;2.0;0.00023249999999999999;0.004565833333333333;1;;;0.004333333333333333;;;;;;
63;80089933;2020-02-16;0.0;0.0;33.0;0.0;0.004604848484848484;1;;;0.004604848484848484;;;;;;
64;65814371;2020-02-16;0.0;0.0;3.0;0.0;0.004608333333333334;1;;;0.004608333333333334;;;;;;
65;68269691;2020-02-16;0.0021049999999999997;0.0;8.0;0.00026312499999999996;0.004626666666666669;1;;;0.004363541666666668;;;;;;
66;70661122;2020-02-16;0.20938166666666666;0.0;9.0;0.023264629629629628;0.004630740740740574;1;;;-0.018633888888889054;;;;;;
67;68158300;2020-02-16;0.0011116666666666668;0.0;4.0;0.0002779166666666667;0.004664166666666667;1;;;0.00438625;;;;;;
68;80011113;2020-02-16;0.0;0.0;2.0;0.0;0.0046975;1;;;0.0046975;;;;;;
69;82200383;2020-02-16;0.0;0.0;3.0;0.0;0.004737777777777778;1;;;0.004737777777777778;;;;;;
70;75892936;2020-02-16;0.0;0.0;2.0;0.0;0.004800833333333334;1;;;0.004800833333333334;;;;;;
71;84595;2020-02-16;0.0;0.0;4.0;0.0;0.0048316666666666655;1;;;0.0048316666666666655;;;;;;
72;6151145;2020-02-16;0.0;0.0;8.0;0.0;0.004832083333333333;1;;;0.004832083333333333;;;;;;
73;68536370;2020-02-16;0.0;0.0;3.0;0.0;0.004931111111111111;1;;;0.004931111111111111;;;;;;
74;74002110;2020-02-16;0.0;0.0;2.0;0.0;0.0049525;1;;;0.0049525;;;;;;
75;70245224;2020-02-16;0.0;0.0;2.0;0.0;0.0049525;1;;;0.0049525;;;;;;
76;66345713;2020-02-16;0.0;0.0;2.0;0.0;0.0049525;1;;;0.0049525;;;;;;
77;70817236;2020-02-16;0.0;0.0;2.0;0.0;0.0049525;1;;;0.0049525;;;;;;
78;66765181;2020-02-16;0.0;0.0;2.0;0.0;0.0050166666666666675;1;;;0.0050166666666666675;;;;;;
79;80129061;2020-02-16;0.0;0.0;2.0;0.0;0.005192500000000001;1;;;0.005192500000000001;;;;;;
80;80039575;2020-02-16;0.0;0.0;2.0;0.0;0.0052208333333333325;1;;;0.0052208333333333325;;;;;;
81;80039372;2020-02-16;0.0;0.0;2.0;0.0;0.0052208333333333325;1;;;0.0052208333333333325;;;;;;
82;80039561;2020-02-16;0.0;0.0;2.0;0.0;0.0052208333333333325;1;;;0.0052208333333333325;;;;;;
83;80039813;2020-02-16;0.0;0.0;2.0;0.0;0.0052208333333333325;1;;;0.0052208333333333325;;;;;;
84;80180158;2020-02-16;0.000345;0.0;1.0;0.000345;0.0053266666666666644;1;;;0.004981666666666665;;;;;;
85;70643125;2020-02-16;0.00026333333333333336;0.0;1.0;0.00026333333333333336;0.005373333333333332;1;;;0.005109999999999999;;;;;;
86;80180321;2020-02-16;0.0;0.0;6.0;0.0;0.00540138888888889;1;;;0.00540138888888889;;;;;;
87;69958574;2020-02-16;0.0;0.0;2.0;0.0;0.0054875;1;;;0.0054875;;;;;;
